,RunId,iteration,Step,agents,Crashes,Congestion,Sanity,TimeOfTrafficLightOn,SuccessRateWithoutCrash,MovesByDriver,DriversPositions,goodDriver,ambulance,crazyDriver,wannabeCrazyDriver
0,0,0,200,20,10,0,7.5,1,1,179803,{},8,7,5,0
1,1,1,200,20,10,0,6.5,1,1,179341,{},7,6,7,0
2,2,2,200,20,8,0,8.5,1,1,188842,{},11,6,3,0
3,3,3,200,20,8,0,6.5,1,1,190154,{},7,6,7,0
4,4,4,200,20,6,0,6.0,1,1,213960,{},6,6,8,0
5,5,5,200,20,8,4,6.5,1,1,231023,{},6,7,7,0
6,6,6,200,20,12,2,7.5,1,1,153335,{},10,5,5,0
7,7,7,200,20,6,4,4.5,1,1,266266,{},4,5,11,0
8,8,8,200,20,4,2,7.0,1,1,206148,{},8,6,6,0
9,9,9,200,20,6,0,8.0,1,1,183605,{},8,8,4,0
10,10,10,200,20,8,6,6.0,1,1,285525,{},4,8,8,0
11,11,11,200,20,10,0,6.0,1,1,208680,{},7,5,8,0
12,12,12,200,20,6,0,7.5,1,1,176598,{},10,5,5,0
13,13,13,200,20,8,4,7.0,1,1,250580,{},4,10,6,0
14,14,14,200,20,12,4,7.0,1,1,194250,{},10,4,6,0
15,15,15,200,20,6,6,8.0,1,1,167786,{},7,9,4,0
16,16,16,200,20,10,8,5.5,1,1,211657,{},6,5,9,0
17,17,17,200,20,12,2,6.5,1,1,268014,{},6,7,7,0
18,18,18,200,20,6,0,7.0,1,1,144652,{},9,5,6,0
19,19,19,200,20,8,2,6.0,1,1,234207,{},7,5,8,0
20,20,20,200,20,10,2,6.5,1,1,209930,{},7,6,7,0
21,21,21,200,20,8,0,7.5,1,1,223818,{},7,8,5,0
22,22,22,200,20,20,2,7.5,1,1,216249,{},8,7,5,0
23,23,23,200,20,10,0,7.0,1,1,218991,{},6,8,6,0
24,24,24,200,20,8,4,5.5,1,1,213330,{},7,4,9,0
25,25,25,200,20,4,10,7.5,1,1,171058,{},11,4,5,0
26,26,26,200,20,8,4,5.5,1,1,259046,{},5,6,9,0
27,27,27,200,20,14,2,5.0,1,1,210951,{},8,2,10,0
28,28,28,200,20,4,0,5.0,1,1,214387,{},5,5,10,0
29,29,29,200,20,0,2,5.5,1,1,223395,{},3,8,9,0
30,30,30,200,20,8,4,7.0,1,1,209937,{},10,4,6,0
31,31,31,200,20,12,0,6.0,1,1,209408,{},9,3,8,0
32,32,32,200,20,8,2,7.0,1,1,209643,{},7,7,6,0
33,33,33,200,20,10,0,7.5,1,1,186706,{},12,3,5,0
34,34,34,200,20,4,2,7.5,1,1,272622,{},4,11,5,0
35,35,35,200,20,10,2,7.0,1,1,238429,{},6,8,6,0
36,36,36,200,20,14,2,7.0,1,1,236411,{},5,9,6,0
37,37,37,200,20,4,6,6.0,1,1,228549,{},5,7,8,0
38,38,38,200,20,6,2,7.0,1,1,202303,{},6,8,6,0
39,39,39,200,20,0,0,7.0,1,1,219884,{},8,6,6,0
40,40,40,200,20,8,0,9.5,1,1,227302,{},9,10,1,0
41,41,41,200,20,10,2,6.5,1,1,215946,{},7,6,7,0
42,42,42,200,20,4,0,7.5,1,1,164458,{},10,5,5,0
43,43,43,200,20,8,0,6.0,1,1,173697,{},8,4,8,0
44,44,44,200,20,12,2,5.0,1,1,248583,{},4,6,10,0
45,45,45,200,20,14,2,6.0,1,1,176137,{},8,4,8,0
46,46,46,200,20,4,6,5.5,1,1,296929,{},2,9,9,0
47,47,47,200,20,10,4,8.5,1,1,222572,{},8,9,3,0
48,48,48,200,20,10,0,6.0,1,1,239164,{},5,7,8,0
49,49,49,200,20,6,0,6.5,1,1,224340,{},4,9,7,0
